"card_no","sex","major","access_no"
"180081","女","18会计","18929482"
"180082","女","18会计","21251402"
"180083","女","18会计","21159002"
"180084","女","18会计","21527562"
"180085","女","18会计","20122234"
"180086","女","18会计","21250842"
"180087","女","18会计","21016442"
"180088","女","18会计","20714234"
"180089","女","18会计","20541834"
"180090","女","18会计","20335898"
"180091","女","18会计","21649338"
"180092","女","18会计","20025690"
"180093","女","18会计","18549242"
"180094","女","18会计","19516138"
"180095","女","18会计","20305386"
"180096","女","18会计","19035098"
"180097","女","18会计","20354426"
"180098","女","18会计","19354730"
"180099","女","18会计","20618298"
"180100","女","18会计","19517130"
"180101","女","18会计","18840522"
"180102","女","18会计","18841034"
"180103","女","18会计","206762"
"180104","女","18会计","20945834"
"180105","女","18会计","19750842"
"180106","女","18会计","20929850"
"180107","女","18会计","20303914"
"180108","女","18会计","20431610"
"180109","女","18会计","18929402"
"180110","女","18会计","19117850"
"180111","女","18会计","18922730"
"180112","女","18会计","21655066"
"180113","女","18会计","20708138"
"180114","女","18会计","20165082"
"180115","女","18会计","19353802"
"180116","女","18会计","20159002"
"180117","女","18会计","21153690"
"180118","女","18会计","20451786"
"180119","女","18会计","19314090"
"180120","女","18会计","20116858"
"180121","女","18会计","20628426"
"180122","女","18会计","20942474"
"180123","女","18会计","19752362"
"180124","女","18会计","19841290"
"180125","女","18会计","20616026"
"180126","女","18会计","20912746"
"180127","女","18会计","21947050"
"180128","女","18会计","17301610"
"180129","女","18会计","20256058"
"180130","女","18会计","21221626"
"180131","女","18会计","19201450"
"180132","女","18会计","21203066"
"180133","女","18会计","21101322"
"180134","女","18会计","21106458"
"180135","女","18会计","20127226"
"180136","女","18会计","21063018"
"180137","女","18会计","18962938"
"180138","女","18会计","20033482"
"180139","女","18会计","20432122"
"180140","女","18会计","19928666"
"180141","女","18会计","18605434"
"180142","女","18会计","19207610"
"180143","女","18会计","19841146"
"180144","女","18会计","21158186"
"180145","女","18会计","14305130"
"180146","女","18会计","20156074"
"180147","女","18会计","21631130"
"180148","女","18会计","20761098"
"180149","女","18会计","20343994"
"180150","女","18会计","20747034"
"180151","女","18会计","18756714"
"180152","女","18会计","21903514"
"180153","女","18会计","19210618"
"180154","女","18会计","709322"
"180155","女","18会计","19512794"
"180156","女","18会计","19253850"
"180157","女","18会计","20623402"
"180158","女","18会计","17445674"
"180159","女","18会计","19664954"
"180160","女","18会计","20931930"
"180161","女","18会计","20211754"
"180162","女","18会计","18962698"
"180163","女","18会计","21448330"
"180164","女","18会计","24224954"
"180165","女","18会计","21108762"
"180166","女","18会计","21365178"
"180167","女","18会计","21108538"
"180168","女","18会计","19700090"
"180169","女","18会计","19431258"
"180170","女","18会计","19838106"
"180171","女","18会计","20304458"
"180172","女","18会计","22024330"
"180173","女","18会计","19351674"
"180174","女","18会计","20009066"
"180175","女","18会计","20518202"
"180176","女","18会计","18519546"
"180177","女","18会计","19805098"
"180178","女","18会计","19662218"
"180179","女","18会计","21118282"
"180180","女","18会计","20617674"
"180181","女","18会计","19262538"
"180182","女","18会计","21232090"
"180183","女","18会计","18618058"
"180184","女","18会计","21230602"
"180185","女","18会计","21725258"
"180186","女","18会计","19350634"
"180187","女","18会计","20602538"
"180188","女","18会计","23220362"
"180189","女","18会计","21936714"
"180190","女","18会计","1240858"
"180191","女","18会计","21250602"
"180192","女","18会计","20307770"
"180193","女","18会计","22029498"
"180194","女","18会计","21309658"
"180195","女","18会计","21447418"
"180196","女","18会计","21805434"
"180197","女","18会计","20660522"
"180198","女","18会计","20022874"
"180199","女","18会计","20026282"
"180200","女","18会计","18418874"
"180201","女","18会计","19611930"
"180202","女","18会计","21958698"
"180203","女","18会计","20012410"
"180204","女","18会计","22000458"
"180205","女","18会计","21005562"
"180206","女","18会计","19049546"
"180207","女","18会计","19046250"
"180208","女","18会计","21600538"
"180209","男","18金融管理","21006778"
"180210","男","18金融管理","20158906"
"180211","男","18金融管理","18962842"
"180212","男","18金融管理","19705626"
"180213","男","18金融管理","20757482"
"180214","男","18金融管理","21353658"
"180215","男","18金融管理","21017306"
"180216","男","18金融管理","18809082"
"180217","男","18金融管理","18410874"
"180218","男","18金融管理","20209578"
"180219","男","18金融管理","14963738"
"180220","男","18金融管理","23942138"
"180221","男","18金融管理","19843050"
"180222","男","18金融管理","20526186"
"180223","男","18金融管理","20661082"
"180224","男","18金融管理","18427914"
"180225","男","18金融管理","20348746"
"180226","男","18金融管理","21328138"
"180227","男","18金融管理","20845322"
"180228","男","18金融管理","21635098"
"180229","男","18金融管理","20215562"
"180230","男","18金融管理","20621194"
"180231","男","18金融管理","19351274"
"180232","男","18金融管理","20665386"
"180233","男","18金融管理","21636890"
"180234","男","18金融管理","18713834"
"180235","男","18金融管理","20434810"
"180236","男","18金融管理","19005914"
"180237","男","18金融管理","21446122"
"180238","男","18金融管理","21753770"
"180239","男","18金融管理","21930810"
"180240","女","18金融管理","21411130"
"180241","女","18金融管理","21333786"
"180242","女","18金融管理","21652154"
"180243","女","18金融管理","19137066"
"180244","女","18金融管理","18842938"
"180245","女","18金融管理","20807306"
"180246","女","18金融管理","20258490"
"180247","女","18金融管理","21926986"
"180248","女","18金融管理","20616490"
"180249","女","18金融管理","22913290"
"180250","女","18金融管理","20658522"
"180251","女","18金融管理","21931370"
"180252","女","18金融管理","18728298"
"180253","女","18金融管理","17563770"
"180254","女","18金融管理","17618938"
"180255","女","18金融管理","20606394"
"180256","女","18金融管理","15555146"
"180257","女","18金融管理","21238250"
"180258","女","18金融管理","21454938"
"180259","女","18金融管理","19128426"
"180260","女","18金融管理","19344250"
"180261","女","18金融管理","18760970"
"180262","女","18金融管理","20622666"
"180263","女","18金融管理","18460202"
"180264","女","18金融管理","20309130"
"180265","女","18金融管理","21962234"
"180266","女","18金融管理","21519146"
"180267","女","18金融管理","21108234"
"180268","女","18金融管理","20757226"
"180269","女","18金融管理","120986"
"180270","女","18金融管理","21911898"
"180271","女","18金融管理","19354250"
"180272","女","18金融管理","19623850"
"180273","女","18金融管理","18961642"
"180274","女","18金融管理","21650938"
"180275","女","18金融管理","19207626"
"180276","女","18金融管理","19750314"
"180277","女","18金融管理","18244298"
"180278","女","18金融管理","20706106"
"180279","女","18金融管理","24758394"
"180280","女","18金融管理","21834410"
"180281","女","18金融管理","20847642"
"180282","女","18金融管理","20842554"
"180283","女","18金融管理","18764810"
"180284","女","18金融管理","19344362"
"180285","女","18金融管理","18637706"
"180286","女","18金融管理","18657594"
"180287","女","18金融管理","21907066"
"180288","女","18金融管理","22040682"
"180289","女","18金融管理","21863434"
"180290","女","18金融管理","21201258"
"180291","女","18金融管理","21641034"
"180292","女","18金融管理","21365322"
"180293","女","18金融管理","21005514"
"180294","女","18金融管理","20610490"
"180295","女","18金融管理","19203098"
"180296","女","18金融管理","20526218"
"180297","女","18金融管理","20928906"
"180298","女","18金融管理","21027578"
"180299","女","18金融管理","21019722"
"180300","女","18金融管理","21156154"
"180301","女","18金融管理","20510554"
"180302","女","18金融管理","19526218"
"180303","女","18金融管理","21743018"
"180304","女","18金融管理","21400842"
"180305","女","18金融管理","18427354"
"180306","女","18金融管理","20526714"
"180307","女","18金融管理","19751498"
"180308","女","18金融管理","18612682"
"180309","女","18金融管理","21811450"
"180310","女","18金融管理","19942362"
"180311","女","18金融管理","21018586"
"180312","女","18金融管理","18926090"
"180313","女","18金融管理","21747610"
"180314","女","18金融管理","21365098"
"180315","女","18金融管理","19220058"
"180316","女","18金融管理","19921130"
"180317","女","18金融管理","19433306"
"180318","女","18金融管理","23762282"
"180319","女","18金融管理","21440074"
"180320","女","18金融管理","21456458"
"180321","女","18金融管理","18539386"
"180322","女","18金融管理","14803994"
"180323","女","18金融管理","19432954"
"180324","女","18金融管理","19615690"
"180325","女","18金融管理","21949226"
"180326","女","18金融管理","20924938"
"180327","女","18金融管理","17624282"
"180328","女","18金融管理","19518906"
"180329","女","18金融管理","21401098"
"180330","女","18金融管理","19616330"
"180331","女","18金融管理","19002762"
"180332","女","18金融管理","21060026"
"180333","女","18金融管理","23644442"
"180334","女","18金融管理","700730"
"180335","女","18金融管理","20008506"
"180336","女","18金融管理","20435898"
"180337","女","18金融管理","18422298"
"180338","女","18金融管理","21403450"
"180339","女","18金融管理","20806234"
"180340","男","18审计","19129418"
"180341","男","18审计","19128666"
"180342","男","18审计","19347930"
"180343","男","18审计","19117898"
"180344","男","18审计","20937658"
"180345","男","18审计","21834250"
"180346","男","18审计","18445338"
"180347","女","18审计","19931290"
"180348","女","18审计","20034490"
"180349","女","18审计","21359770"
"180350","女","18审计","21528426"
"180351","女","18审计","19263770"
"180352","女","18审计","19662074"
"180353","女","18审计","17405514"
"180354","女","18审计","19217818"
"180355","女","18审计","19226954"
"180356","女","18审计","18842346"
"180357","女","18审计","21937594"
"180358","女","18审计","20164106"
"180359","女","18审计","20835370"
"180360","女","18审计","21145370"
"180361","女","18审计","20701562"
"180362","女","18审计","19840282"
"180363","女","18审计","21110938"
"180364","女","18审计","19700202"
"180365","女","18审计","21449802"
"180366","女","18审计","21115962"
"180367","女","18审计","18523082"
"180368","女","18审计","18708954"
"180369","女","18审计","18843914"
"180370","女","18审计","21937402"
"180371","女","18审计","19829146"
"180372","女","18审计","19060250"
"180373","女","18审计","20356282"
"180374","女","18审计","20347210"
"180375","女","18审计","21108090"
"180376","女","18审计","20435866"
"180377","女","18审计","17106730"
"180378","女","18审计","19043898"
"180379","女","18审计","21235914"
"180380","女","18审计","20346474"
"180381","女","18审计","19945418"
"180382","女","18审计","18724762"
"180383","女","18审计","20801514"
"180384","女","18审计","20850298"
"180385","女","18审计","19655082"
"180386","女","18审计","20360266"
"180387","女","18审计","19622362"
"180388","女","18审计","18547258"
"180389","女","18审计","030778"
"180390","女","18审计","24357242"
"180391","女","18审计","20207098"
"180392","女","18审计","24434570"
"180393","女","18审计","20753674"
"180394","女","18审计","17037226"
"180395","女","18审计","20101626"
"180396","女","18审计","21026634"
"180397","女","18审计","20614138"
"180398","女","18审计","19919178"
"180399","女","18审计","21742826"
"180400","女","18审计","18930778"
"180401","女","18审计","20353258"
"180402","女","18审计","17447226"
"180403","女","18审计","20345162"
"180404","女","18审计","22037722"
"180405","女","18审计","19944058"
"180406","女","18审计","20116202"
"180407","女","18审计","18716042"
"180408","女","18审计","19845162"
"180409","女","18审计","20926442"
"180410","女","18审计","21712650"
"180411","女","18审计","19856442"
"180412","女","18审计","18549642"
"180413","女","18审计","20922186"
"180414","女","18审计","20425674"
"180415","女","18审计","20158602"
"180416","女","18审计","21651754"
"180417","女","18审计","19433674"
"180418","女","18审计","20802074"
"180419","女","18审计","18458698"
"180420","女","18审计","21911786"
"180421","女","18审计","21402586"
"180422","女","18审计","21444074"
"180423","女","18审计","18723546"
"180424","女","18审计","19443146"
"180425","女","18审计","18625482"
"180426","男","18投资与理财","18401306"
"180427","男","18投资与理财","21536874"
"180428","男","18投资与理财","18725610"
"180429","男","18投资与理财","20859594"
"180430","男","18投资与理财","20358874"
"180431","男","18投资与理财","20205754"
"180432","男","18投资与理财","22600538"
"180433","男","18投资与理财","21143514"
"180434","男","18投资与理财","19129466"
"180435","男","18投资与理财","22035034"
"180436","男","18投资与理财","19432442"
"180437","男","18投资与理财","20450074"
"180438","男","18投资与理财","19932266"
"180439","男","18投资与理财","19804522"
"180440","男","18投资与理财","21228746"
"180441","男","18投资与理财","20261802"
"180442","男","18投资与理财","21533594"
"180443","男","18投资与理财","19350890"
"180444","女","18投资与理财","21650618"
"180445","女","18投资与理财","21021050"
"180446","女","18投资与理财","19939626"
"180447","女","18投资与理财","19757354"
"180448","女","18投资与理财","20925882"
"180449","女","18投资与理财","20659162"
"180450","女","18投资与理财","18801706"
"180451","女","18投资与理财","24212522"
"180452","女","18投资与理财","18614986"
"180453","女","18投资与理财","20345994"
"180454","女","18投资与理财","20443498"
"180455","女","18投资与理财","19831834"
"180456","女","18投资与理财","20434474"
"180457","女","18投资与理财","21754202"
"180458","女","18投资与理财","19048298"
"180459","女","18投资与理财","21235402"
"180460","女","18投资与理财","21926922"
"180461","女","18投资与理财","20516442"
"180462","女","18投资与理财","19654570"
"180463","女","18投资与理财","20936298"
"180464","女","18投资与理财","18724730"
"180465","女","18投资与理财","19749210"
"180466","女","18投资与理财","20101098"
"180467","女","18投资与理财","21321642"
"180468","女","18投资与理财","21447114"
"180469","女","18投资与理财","21201802"
"180470","女","18投资与理财","18715530"
"180471","女","18投资与理财","18713946"
"180472","女","18投资与理财","21907514"
"180473","女","18投资与理财","20160442"
"180474","女","18投资与理财","19141914"
"180475","女","18投资与理财","20716522"
"180476","女","18投资与理财","21645434"
"180477","女","18投资与理财","18908730"
"180478","女","18投资与理财","18846858"
"180479","女","18投资与理财","20218314"
"180480","女","18投资与理财","20747418"
"180481","女","18投资与理财","19622650"
"180482","女","18投资与理财","18606890"
"180483","女","18投资与理财","21602922"
"180484","女","18投资与理财","21451706"
"180485","女","18投资与理财","18713338"
"180486","女","18投资与理财","25233162"
"180487","女","18投资与理财","14619786"
"180488","女","18投资与理财","20030714"
"180489","女","18投资与理财","20927130"
"180490","女","18投资与理财","20757866"
"180491","女","18投资与理财","21251514"
"180492","女","18投资与理财","20701162"
"180493","女","18投资与理财","19528826"
"180494","女","18投资与理财","23151994"
"180495","女","18投资与理财","18447898"
"180496","女","18投资与理财","20524890"
"180497","女","18投资与理财","18324122"
"180498","女","18投资与理财","22004490"
"180499","女","18投资与理财","18800666"
"180500","女","18投资与理财","19045514"
"180501","女","18投资与理财","19125578"
"180502","女","18投资与理财","19936922"
"180503","女","18投资与理财","18605098"
"180504","女","18投资与理财","21104538"
"180505","女","18投资与理财","16739162"
"180506","女","18投资与理财","22026282"
"180507","女","18投资与理财","19856842"
"180508","女","18投资与理财","19838458"
"180509","女","18投资与理财","20201146"
"180510","女","18投资与理财","18512074"
"180511","女","18投资与理财","19932346"
"180512","女","18投资与理财","19048666"
"180513","男","18电子商务","20925034"
"180514","男","18电子商务","18417898"
"180515","男","18电子商务","20161930"
"180516","男","18电子商务","21153946"
"180517","男","18电子商务","20306858"
"180518","男","18电子商务","21450730"
"180519","男","18电子商务","21156426"
"180520","男","18电子商务","18925594"
"180521","男","18电子商务","20764778"
"180522","男","18电子商务","20426170"
"180523","男","18电子商务","21401722"
"180524","男","18电子商务","20433162"
"180525","男","18电子商务","21754554"
"180526","男","18电子商务","21330730"
"180527","男","18电子商务","21018010"
"180528","男","18电子商务","19050874"
"180529","男","18电子商务","20753226"
"180530","男","18电子商务","18763930"
"180531","男","18电子商务","20932970"
"180532","男","18电子商务","20924026"
"180533","男","18电子商务","18553194"
"180534","男","18电子商务","21444170"
"180535","男","18电子商务","19430842"
"180536","男","18电子商务","20308714"
"180537","男","18电子商务","20211178"
"180538","男","18电子商务","18409562"
"180539","男","18电子商务","20438330"
"180540","男","18电子商务","20211098"
"180541","男","18电子商务","20025002"
"180542","男","18电子商务","16961594"
"180543","女","18电子商务","20622090"
"180544","女","18电子商务","18923514"
"180545","女","18电子商务","19227482"
"180546","女","18电子商务","19834938"
"180547","女","18电子商务","25059818"
"180548","女","18电子商务","21320618"
"180549","女","18电子商务","20426938"
"180550","女","18电子商务","19604458"
"180551","女","18电子商务","20615786"
"180552","女","18电子商务","21106650"
"180553","女","18电子商务","20663850"
"180554","女","18电子商务","19434986"
"180555","女","18电子商务","21234938"
"180556","女","18电子商务","20540746"
"180557","女","18电子商务","20523226"
"180558","女","18电子商务","20627946"
"180559","女","18电子商务","22007530"
"180560","女","18电子商务","20717962"
"180561","女","18电子商务","19934906"
"180562","女","18电子商务","21357514"
"180563","女","18电子商务","18421050"
"180564","女","18电子商务","19229066"
"180565","女","18电子商务","19215114"
"180566","女","18电子商务","21516346"
"180567","女","18电子商务","21006986"
"180568","女","18电子商务","21951146"
"180569","女","18电子商务","23961930"
"180570","女","18电子商务","21407978"
"180571","女","18电子商务","21947482"
"180572","女","18电子商务","19602746"
"180573","女","18电子商务","18837594"
"180574","女","18电子商务","19658330"
"180575","女","18电子商务","20434106"
"180576","女","18电子商务","21229194"
"180577","女","18电子商务","21635066"
"180578","女","18电子商务","19704266"
"180579","女","18电子商务","21655658"
"180580","女","18电子商务","21445866"
"180581","女","18电子商务","24321546"
"180582","女","18电子商务","21320570"
"180583","女","18电子商务","17429882"
"180584","女","18电子商务","17606266"
"180585","女","18电子商务","17607546"
"180586","女","18电子商务","21156042"
"180587","女","18电子商务","18714986"
"180588","女","18电子商务","18911386"
"180589","女","18电子商务","19128794"
"180590","女","18电子商务","19755786"
"180591","女","18电子商务","19846442"
"180592","女","18电子商务","21412122"
"180593","女","18电子商务","21407770"
"180594","女","18电子商务","19524842"
"180595","女","18电子商务","18733274"
"180596","女","18电子商务","20859130"
"180597","女","18电子商务","16637706"
"180598","女","18电子商务","21756842"
"180599","女","18电子商务","19853306"
"180600","女","18电子商务","19119242"
"180601","女","18电子商务","14110010"
"180602","女","18电子商务","19941946"
"180603","女","18电子商务","21365466"
"180604","女","18电子商务","13726554"
"180605","女","18电子商务","21927098"
"180606","女","18电子商务","21600842"
"180607","女","18电子商务","19839402"
"180608","女","18电子商务","19139818"
"180609","女","18电子商务","18526106"
"180610","女","18电子商务","17407498"
"180611","女","18电子商务","18547594"
"180612","女","18电子商务","20012282"
"180613","女","18电子商务","19202234"
"180614","女","18电子商务","21405306"
"180615","女","18电子商务","19043578"
"180616","女","18电子商务","20203690"
"180617","女","18电子商务","19520794"
"180618","男","18工商企管","20660026"
"180619","男","18工商企管","18409834"
"180620","男","18工商企管","20349178"
"180621","男","18工商企管","19656234"
"180622","男","18工商企管","20935386"
"180623","男","18工商企管","19842538"
"180624","男","18工商企管","18908362"
"180625","男","18工商企管","18438122"
"180626","男","18工商企管","19037962"
"180627","男","18工商企管","20534714"
"180628","男","18工商企管","20207482"
"180629","男","18工商企管","21457178"
"180630","男","18工商企管","21018570"
"180631","男","18工商企管","19703754"
"180632","男","18工商企管","18603274"
"180633","男","18工商企管","19420234"
"180634","男","18工商企管","20125834"
"180635","男","18工商企管","21144938"
"180636","男","18工商企管","19625578"
"180637","女","18工商企管","21452138"
"180638","女","18工商企管","19050058"
"180639","女","18工商企管","18764826"
"180640","女","18工商企管","21325642"
"180641","女","18工商企管","20448922"
"180642","女","18工商企管","20261882"
"180643","女","18工商企管","21332762"
"180644","女","18工商企管","19617370"
"180645","女","18工商企管","18425274"
"180646","女","18工商企管","20030698"
"180647","女","18工商企管","21836698"
"180648","女","18工商企管","21403178"
"180649","女","18工商企管","21052730"
"180650","女","18工商企管","19846858"
"180651","女","18工商企管","21118378"
"180652","女","18工商企管","16859850"
"180653","女","18工商企管","21410954"
"180654","女","18工商企管","20943658"
"180655","女","18工商企管","19352730"
"180656","女","18工商企管","20923002"
"180657","女","18工商企管","20843866"
"180658","女","18工商企管","20209594"
"180659","女","18工商企管","20716634"
"180660","女","18工商企管","19537594"
"180661","女","18工商企管","17422778"
"180662","女","18工商企管","18754634"
"180663","女","18工商企管","20254522"
"180664","女","18工商企管","18830122"
"180665","女","18工商企管","21324138"
"180666","女","18工商企管","18356650"
"180667","女","18工商企管","21151690"
"180668","女","18工商企管","20065210"
"180669","女","18工商企管","17162410"
"180670","女","18工商企管","20935898"
"180671","女","18工商企管","19857834"
"180672","女","18工商企管","20107578"
"180673","女","18工商企管","21523562"
"180674","女","18工商企管","21152554"
"180675","女","18工商企管","21843994"
"180676","女","18工商企管","20259242"
"180677","女","18工商企管","19705258"
"180678","女","18工商企管","20843082"
"180679","女","18工商企管","20664346"
"180680","女","18工商企管","20804410"
"180681","女","18工商企管","19348442"
"180682","女","18工商企管","20015914"
"180683","女","18工商企管","19561482"
"180684","女","18工商企管","21643978"
"180685","女","18工商企管","20719338"
"180686","女","18工商企管","21145274"
"180687","女","18工商企管","24357338"
"180688","女","18工商企管","13457482"
"180689","女","18工商企管","21529546"
"180690","女","18工商企管","18357178"
"180691","女","18工商企管","20111194"
"180692","女","18工商企管","21009434"
"180693","女","18工商企管","21603850"
"180694","女","18工商企管","20523738"
"180695","女","18工商企管","19963706"
"180696","女","18工商企管","19945850"
"180697","女","18工商企管","19927610"
"180698","男","18物流管理","21242330"
"180699","男","18物流管理","20700954"
"180700","男","18物流管理","21238314"
"180701","男","18物流管理","20348506"
"180702","男","18物流管理","21362170"
"180703","男","18物流管理","16848266"
"180704","男","18物流管理","19435050"
"180705","男","18物流管理","21849722"
"180706","男","18物流管理","19001690"
"180707","男","18物流管理","21608522"
"180708","男","18物流管理","20246058"
"180709","男","18物流管理","19052378"
"180710","男","18物流管理","19043114"
"180711","女","18物流管理","19651914"
"180712","女","18物流管理","18543322"
"180713","女","18物流管理","20606218"
"180714","女","18物流管理","20114778"
"180715","女","18物流管理","18438106"
"180716","女","18物流管理","21244458"
"180717","女","18物流管理","19845546"
"180718","女","18物流管理","20528138"
"180719","女","18物流管理","21020874"
"180720","女","18物流管理","20355834"
"180721","女","18物流管理","18921722"
"180722","女","18物流管理","18358730"
"180723","女","18物流管理","20165098"
"180724","女","18物流管理","18541530"
"180725","女","18物流管理","21159210"
"180726","女","18物流管理","21145466"
"180727","女","18物流管理","19609546"
"180728","女","18物流管理","20708554"
"180729","女","18物流管理","21017466"
"180730","女","18物流管理","18624970"
"180731","女","18物流管理","20426218"
"180732","女","18物流管理","19514234"
"180733","女","18物流管理","21108042"
"180734","女","18物流管理","21104842"
"180735","女","18物流管理","19836602"
"180736","女","18物流管理","19428314"
"180737","女","18物流管理","20349274"
"180738","女","18物流管理","19209466"
"180739","女","18物流管理","20444042"
"180740","女","18物流管理","21560762"
"180741","女","18物流管理","19262954"
"180742","女","18物流管理","23654506"
"180743","女","18物流管理","20343642"
"180744","女","18物流管理","18764026"
"180745","女","18物流管理","18347914"
"180746","女","18物流管理","21928314"
"180747","女","18物流管理","20758586"
"180748","女","18物流管理","19007626"
"180749","女","18物流管理","25408602"
"180750","男","18连锁经营","20762330"
"180751","男","18连锁经营","19848250"
"180752","男","18连锁经营","19664074"
"180753","男","18连锁经营","21009354"
"180754","男","18连锁经营","20308282"
"180755","男","18连锁经营","20204330"
"180756","男","18连锁经营","19512298"
"180757","男","18连锁经营","21526186"
"180758","男","18连锁经营","20529002"
"180759","男","18连锁经营","21849466"
"180760","男","18连锁经营","21754746"
"180761","男","18连锁经营","18358762"
"180762","男","18连锁经营","220106"
"180763","男","18连锁经营","19354858"
"180764","男","18连锁经营","19611386"
"180765","男","18连锁经营","20264874"
"180766","男","18连锁经营","20809098"
"180767","女","18连锁经营","21322634"
"180768","女","18连锁经营","19523738"
"180769","女","18连锁经营","18553162"
"180770","女","18连锁经营","21241482"
"180771","女","18连锁经营","20018634"
"180772","女","18连锁经营","23959498"
"180773","女","18连锁经营","21863626"
"180774","女","18连锁经营","20303882"
"180775","女","18连锁经营","18404794"
"180776","女","18连锁经营","19227626"
"180777","女","18连锁经营","19322634"
"180778","女","18连锁经营","21902826"
"180779","女","18连锁经营","20525258"
"180780","女","18连锁经营","20626378"
"180781","女","18连锁经营","21524074"
"180782","女","18连锁经营","20116874"
"180783","女","18连锁经营","19358186"
"180784","女","18连锁经营","19934570"
"180785","女","18连锁经营","21524362"
"180786","女","18连锁经营","19847194"
"180787","女","18连锁经营","19354762"
"180788","女","18连锁经营","18354650"
"180789","女","18连锁经营","19622746"
"180790","女","18连锁经营","20015930"
"180791","女","18连锁经营","19130282"
"180792","女","18连锁经营","21934426"
"180793","女","18连锁经营","20527930"
"180794","女","18连锁经营","24536650"
"180795","女","18连锁经营","14118906"
"180796","女","18连锁经营","19344282"
"180797","女","18连锁经营","20705402"
"180798","女","18连锁经营","20104922"
"180799","女","18连锁经营","21460202"
"180800","女","18连锁经营","21946970"
"180801","女","18连锁经营","19049098"
"180802","女","18连锁经营","19715754"
"180803","女","18连锁经营","19052634"
"180804","女","18连锁经营","19750698"
"180805","女","18连锁经营","19353418"
"180806","女","18连锁经营","21237754"
"180807","女","18连锁经营","22009818"
"180808","女","18连锁经营","21110138"
"180809","女","18连锁经营","19608714"
"180810","女","18连锁经营","19216330"
"180811","女","18连锁经营","20613626"
"180812","女","18连锁经营","19700234"
"180813","女","18连锁经营","19936586"
"180814","女","18连锁经营","20531178"
"180815","女","18连锁经营","21707514"
"180816","女","18连锁经营","21414218"
"180817","女","18连锁经营","21641098"
"180818","女","18连锁经营","20021498"
"180819","女","18连锁经营","21012506"
"180820","女","18连锁经营","19755610"
"180821","女","18连锁经营","18141786"
"180822","女","18连锁经营","20753738"
"180823","女","18连锁经营","20343882"
"180824","女","18连锁经营","18418394"
"180825","女","18连锁经营","21646298"
"180826","女","18连锁经营","21911002"
"180827","女","18连锁经营","18426266"
"180828","女","18连锁经营","21527034"
"180829","女","18连锁经营","21642570"
"180830","女","18连锁经营","18451850"
"180831","女","18连锁经营","22639082"
"180832","女","18连锁经营","21206266"
"180833","女","18连锁经营","19442490"
"180834","女","18连锁经营","21103898"
"180835","女","18连锁经营","21654186"
"180836","女","18连锁经营","21438874"
"180837","女","18连锁经营","18952874"
"180838","女","18连锁经营","20260906"
