card_no,days,day_cost,per_eve,per_morn,per_noon,sum_cost,count,class
182895,15,3.21,0.0,2.37,0.83,48.1,19,1
182896,16,15.23,6.48,0.76,7.99,243.7,44,2
182898,13,2.78,0.32,2.0,0.46,36.2,27,1
182901,14,9.91,3.98,0.57,5.36,138.7,22,1
182902,19,10.22,3.05,3.74,3.42,194.1,44,1
182903,24,21.17,10.84,2.05,8.29,508.1,74,0
182905,24,12.3,5.55,1.82,4.92,295.2,143,2
181879,29,16.17,6.23,3.66,6.28,469.0,109,0
181880,21,20.3,9.6,1.39,9.31,426.2,81,0
181881,22,22.23,7.25,1.59,13.39,489.1,65,0
181883,29,11.97,5.09,2.22,4.66,347.0,168,2
181886,20,13.0,5.45,2.65,4.9,260.0,56,2
181576,22,14.19,6.42,0.76,7.0,312.1,57,2
181577,29,13.31,6.32,1.34,5.65,386.0,122,2
181579,29,14.18,6.88,1.82,5.49,411.2,184,0
181580,26,16.52,7.19,1.9,7.43,429.6,165,0
181581,26,14.02,5.51,2.29,6.21,364.4,109,2
181582,29,19.61,8.86,1.78,8.97,568.8,190,0
182678,26,7.96,3.22,0.53,4.21,207.0,96,1
181889,23,10.51,3.69,1.44,5.39,241.8,95,2
181890,25,17.54,8.86,3.05,5.62,438.5,101,0
181891,27,19.62,10.18,2.0,7.44,529.8,98,0
181892,28,14.97,5.15,3.49,6.33,419.1,109,0
181893,20,15.15,10.68,0.46,4.02,303.0,71,2
181895,24,15.2,5.51,3.49,6.21,364.9,143,2
181896,28,13.84,4.7,2.67,6.46,387.5,150,2
182906,18,3.34,0.92,2.36,0.07,60.1,39,1
182907,24,15.47,6.58,2.88,6.0,371.3,104,2
182910,25,14.9,6.0,3.52,5.38,372.5,86,2
182911,14,5.99,0.59,1.48,3.93,83.9,16,1
182915,15,24.27,7.97,5.01,11.29,364.0,80,2
182917,12,25.1,7.71,4.67,12.72,301.2,45,2
182918,20,22.41,11.54,3.44,7.44,448.1,104,0
183427,10,19.98,11.15,0.0,8.83,199.8,41,1
183428,15,13.07,6.33,0.2,6.53,196.0,29,1
183429,28,17.45,7.06,2.91,7.47,488.7,113,0
183434,24,20.43,7.63,1.21,11.6,490.3,78,0
183435,27,12.77,5.32,1.84,5.61,344.8,149,2
183441,19,13.6,2.61,2.13,8.86,258.4,68,2
180849,28,11.91,5.15,2.38,4.38,333.4,146,2
180850,26,13.12,3.54,0.53,9.04,341.0,105,2
180851,24,14.47,7.09,1.48,5.9,347.4,111,2
182679,21,15.07,5.62,0.96,8.49,316.4,62,2
182680,25,10.74,4.52,0.33,5.88,268.5,80,2
182684,25,10.26,3.16,2.79,4.31,256.4,76,2
182687,21,19.57,8.54,2.42,8.61,411.0,78,2
182688,23,8.07,1.4,1.73,4.94,185.6,75,1
182689,23,11.9,2.47,2.6,6.83,273.6,55,2
182693,16,12.96,6.41,0.7,5.84,207.3,40,1
183978,21,18.01,6.56,2.7,8.75,378.3,95,2
183979,26,17.49,6.63,2.48,8.38,454.8,123,0
183980,22,9.19,2.36,1.5,5.32,202.2,93,1
180853,17,18.5,7.02,3.52,7.95,314.5,95,2
180854,25,11.84,3.66,2.24,5.94,296.1,93,2
180855,23,13.34,4.48,2.02,6.85,306.9,68,2
180856,23,11.71,6.1,0.8,4.82,269.3,121,2
180858,22,16.86,7.04,2.19,7.64,371.0,81,2
180860,29,15.47,5.93,2.57,6.97,448.5,117,0
180861,19,7.86,4.0,0.58,3.28,149.4,37,1
180862,24,14.64,3.4,3.21,8.03,351.3,90,2
183442,7,28.49,6.44,4.49,17.56,199.4,41,1
183445,23,20.98,9.21,4.83,6.94,482.6,124,0
183446,17,26.32,7.54,5.34,13.44,447.4,91,0
183447,27,24.21,10.08,3.21,10.92,653.6,174,0
182307,9,13.73,5.33,2.06,6.34,123.6,39,1
182309,28,13.09,6.17,0.9,6.02,366.5,81,2
182311,19,15.07,5.34,2.89,6.84,286.3,61,2
182312,20,12.25,5.14,0.0,7.11,245.1,60,2
182313,3,4.33,0.0,4.33,0.0,13.0,3,1
182317,24,10.41,4.67,1.58,4.17,249.9,78,2
182318,5,8.08,1.2,4.78,2.1,40.4,15,1
182319,13,20.76,6.34,1.27,13.15,269.9,42,2
182320,24,12.17,3.78,1.49,6.9,292.1,93,2
182322,17,10.21,4.06,1.87,4.28,173.6,43,1
182323,25,15.71,7.79,1.36,6.56,392.8,120,2
182327,25,14.83,5.68,1.86,7.29,370.7,110,2
182328,16,13.24,3.56,2.57,7.12,211.9,50,1
182329,29,14.69,8.73,1.82,4.14,426.0,124,0
182331,21,11.6,4.98,0.6,6.03,243.7,64,2
182332,24,13.08,4.17,2.16,6.75,313.8,107,2
182748,17,13.47,7.23,4.38,1.86,229.0,41,1
183987,25,15.41,6.38,1.3,7.73,385.3,73,2
183988,16,9.32,1.57,4.51,3.24,149.1,40,1
183992,25,9.38,3.04,2.98,3.36,234.5,80,2
183994,18,9.24,3.88,1.69,3.67,166.3,74,1
183998,28,9.49,1.81,1.69,5.99,265.7,134,2
183999,28,16.61,9.65,1.02,5.94,465.0,135,0
182749,27,14.39,5.77,1.09,7.53,388.6,83,2
182750,24,12.82,4.75,0.46,7.61,307.6,63,2
182751,27,9.31,1.78,2.27,5.26,251.3,81,2
182754,24,17.03,7.29,2.55,7.18,408.6,101,2
182756,21,18.84,11.53,0.9,6.41,395.7,65,2
182757,21,29.15,13.0,4.46,11.69,612.2,136,0
180921,29,17.11,7.91,2.48,6.73,496.3,192,0
180926,27,14.56,7.17,0.45,6.94,393.1,93,2
180928,22,12.18,4.48,1.28,6.42,267.9,71,2
180931,25,19.19,9.03,4.06,6.1,479.7,109,0
180932,18,13.54,5.53,1.67,6.33,243.7,55,2
182758,23,21.24,10.11,2.04,9.09,488.5,78,0
182759,25,20.31,10.87,1.55,7.89,507.7,83,0
183865,23,15.07,3.39,2.87,8.81,346.6,113,2
183867,26,14.94,6.7,2.33,5.9,388.4,80,2
183871,23,12.19,4.85,1.56,5.79,280.4,53,2
183872,22,7.67,0.27,1.67,5.73,168.8,65,1
183874,3,18.57,0.0,1.17,17.4,55.7,8,1
183881,16,8.34,1.91,1.61,4.82,133.4,54,1
180933,20,15.38,7.54,1.68,6.16,307.6,80,2
180934,18,22.28,9.64,2.62,10.03,401.1,73,2
180935,7,14.34,5.21,2.04,7.09,100.4,35,1
180938,22,12.53,4.32,0.99,7.23,275.7,41,2
183882,22,14.27,4.29,2.73,7.25,313.9,83,2
183883,17,15.35,6.61,2.32,6.42,261.0,53,2
183884,11,11.87,1.33,3.05,7.5,130.6,29,1
183887,4,14.38,6.15,0.55,7.67,57.5,13,1
183891,12,22.93,14.05,1.54,7.33,275.1,40,2
180942,25,18.04,7.12,0.46,10.46,450.9,176,0
180947,16,18.79,7.32,3.39,8.08,300.7,79,2
180949,20,14.05,6.82,2.58,4.65,281.0,69,2
180971,1,6.0,0.0,0.0,6.0,6.0,0,1
180974,3,14.0,2.17,0.33,11.5,42.0,5,1
180986,16,5.52,0.0,3.93,1.59,88.3,38,1
183894,12,9.46,4.63,1.21,3.63,113.5,23,1
183896,9,11.94,5.33,2.06,4.56,107.5,18,1
183897,10,9.85,5.58,0.0,4.27,98.5,19,1
183905,9,12.96,7.91,1.39,3.66,116.6,30,1
181746,26,14.44,7.4,2.92,4.12,375.5,130,2
181747,29,13.01,5.41,1.83,5.77,377.3,133,2
181748,21,15.02,6.85,2.3,5.87,315.4,103,2
181751,25,11.04,4.67,2.2,4.17,275.9,82,2
181752,25,11.82,3.78,0.6,7.44,295.5,68,2
182359,20,16.93,7.38,2.36,7.18,338.6,80,2
182360,22,13.54,6.17,3.02,4.35,297.8,102,2
182361,23,15.62,7.83,0.54,7.25,359.3,108,2
182363,20,8.22,0.13,0.68,7.42,164.5,73,1
182364,27,12.97,4.86,0.19,7.93,350.2,69,2
182366,19,17.26,6.97,0.99,9.3,328.0,103,2
181753,26,20.39,11.78,2.44,6.18,530.2,97,0
181754,28,9.28,3.64,2.29,3.34,259.7,135,2
182367,22,10.42,5.04,0.52,4.86,229.3,60,2
182370,20,12.0,4.38,0.71,6.91,240.1,114,2
182371,28,14.41,6.04,2.6,5.77,403.5,111,2
182373,21,15.97,5.48,2.21,8.27,335.3,64,2
182375,21,17.61,8.88,1.83,6.9,369.9,102,2
181755,25,11.58,4.62,1.18,5.78,289.5,105,2
182376,25,11.1,4.64,2.05,4.41,277.4,99,2
182377,26,13.58,4.1,2.7,6.78,353.2,121,2
182925,23,19.73,7.33,4.21,8.19,453.7,109,0
182927,21,23.45,10.83,3.6,9.01,492.4,136,0
182929,4,14.18,6.55,1.75,5.88,56.7,9,1
182930,25,28.52,8.86,7.79,11.87,713.0,152,0
180591,26,9.55,3.19,1.88,4.48,248.2,107,2
182931,26,18.54,7.5,3.74,7.3,482.1,164,0
182932,18,14.82,6.28,2.23,6.31,266.8,39,2
182933,7,18.74,8.43,2.09,8.23,131.2,28,1
182935,22,16.24,7.04,4.13,5.06,357.2,130,2
183910,11,10.49,4.17,0.82,5.5,115.4,23,1
182936,20,19.65,7.8,2.54,9.32,393.0,114,2
182938,11,8.3,3.64,4.16,0.5,91.3,38,1
182939,23,17.34,9.57,1.88,5.89,398.9,74,2
182941,20,22.7,7.67,4.7,10.32,454.0,79,0
182942,19,20.09,8.53,4.21,7.35,381.7,85,2
183913,21,9.19,2.22,2.17,4.8,192.9,71,1
183914,6,5.18,2.35,0.67,2.17,31.1,8,1
183918,12,8.28,2.81,1.22,4.25,99.3,32,1
183920,17,19.74,3.89,3.55,12.29,335.6,52,2
180600,17,14.99,5.37,2.48,7.14,254.8,60,2
180601,26,12.94,4.51,2.52,5.91,336.5,123,2
180603,27,10.86,5.15,0.97,4.74,293.3,90,2
180605,17,14.29,6.56,1.82,5.91,243.0,47,2
180607,29,20.76,10.42,2.83,7.51,602.15,166,0
182944,23,13.47,5.42,2.86,5.19,309.7,93,2
183923,24,7.03,0.1,0.21,6.72,168.7,52,1
183924,22,19.09,5.34,2.6,11.14,419.9,72,2
183925,27,11.94,1.42,2.43,8.09,322.3,62,2
183929,22,7.45,1.77,0.8,4.87,163.8,44,1
183930,25,12.19,4.67,1.02,6.5,304.8,82,2
183932,16,10.46,2.18,2.11,6.16,167.3,34,1
184327,6,24.9,10.93,1.5,12.47,149.4,20,1
184329,27,28.35,18.44,1.63,8.28,765.5,112,0
184331,16,33.33,20.57,0.81,11.95,533.3,49,0
184332,28,21.54,10.17,1.94,9.42,603.2,137,0
184333,27,21.72,10.56,2.76,8.4,586.4,98,0
184334,6,11.13,6.17,1.35,3.62,66.8,20,1
184336,21,9.55,0.57,3.1,5.88,200.6,50,1
184337,24,15.73,9.13,1.04,5.56,377.5,72,2
184339,19,11.76,4.84,3.07,3.85,223.5,85,2
182154,10,19.59,6.7,4.19,8.7,195.9,30,1
182155,17,12.35,4.65,1.29,6.41,209.9,41,1
182156,26,17.79,8.0,1.33,8.46,462.5,131,0
182158,19,11.32,2.15,1.85,7.32,215.1,52,1
182604,26,15.88,6.78,1.22,7.87,412.88,182,0
182159,16,16.77,7.35,0.79,8.64,268.4,45,2
182162,19,8.77,3.53,0.65,4.59,166.6,35,1
182163,14,13.71,5.25,1.64,6.82,192.0,28,1
182165,19,15.12,7.44,1.86,5.81,287.2,70,2
182169,16,9.76,4.16,0.59,5.0,156.1,35,1
182170,20,16.56,8.62,1.49,6.45,331.2,66,2
182171,12,13.11,6.42,1.72,4.98,157.3,41,1
182172,20,16.92,8.17,2.58,6.17,338.4,76,2
182605,28,9.81,3.51,1.26,5.04,274.6,117,2
182607,22,25.27,8.13,2.02,15.12,556.0,90,0
182609,26,17.6,6.37,3.32,7.9,457.5,91,0
182612,29,22.28,9.12,3.28,9.88,646.09,192,0
182613,23,12.61,5.17,1.3,6.14,290.1,89,2
182614,27,11.5,4.19,2.86,4.45,310.6,128,2
182615,26,16.0,8.11,2.07,5.82,416.1,152,0
182617,19,13.98,5.12,1.37,7.49,265.6,59,2
182618,22,16.23,6.96,2.16,7.11,357.1,67,2
182174,16,40.65,17.04,2.83,20.78,650.4,104,0
182175,17,14.22,7.48,1.21,5.53,241.7,50,2
182176,17,11.83,5.44,0.82,5.56,201.1,41,1
182177,22,22.37,10.2,0.41,11.75,492.1,74,0
182178,16,10.01,4.76,1.14,4.12,160.2,41,1
182180,23,15.57,7.35,1.07,7.15,358.2,99,2
182181,14,10.09,3.4,1.79,4.9,141.2,41,1
182182,20,12.96,4.73,2.54,5.7,259.3,47,2
180838,23,7.18,3.22,1.08,2.88,165.2,73,1
180839,23,16.6,2.63,0.66,13.32,381.9,59,2
180840,20,10.25,4.21,1.45,4.58,204.9,63,1
180841,23,14.2,5.36,2.63,6.21,326.6,85,2
180843,21,10.39,4.49,1.63,4.26,218.1,102,2
180844,23,13.95,5.52,2.53,5.89,320.8,79,2
180846,25,16.98,6.88,2.53,7.57,424.6,116,0
180847,25,11.58,4.94,2.01,4.64,289.6,97,2
180848,20,6.24,1.2,1.61,3.42,124.7,35,1
183938,11,23.25,5.82,0.56,16.87,255.8,38,2
183944,13,16.56,3.5,2.27,10.79,215.3,36,1
183946,27,13.76,7.14,0.83,5.78,371.4,119,2
183949,26,8.39,2.18,2.62,3.59,218.1,102,2
182760,22,19.01,8.24,3.66,7.11,418.3,73,2
182761,22,30.59,14.86,3.0,12.73,673.0,85,0
181328,20,14.38,7.33,1.8,5.25,287.5,50,2
181331,26,21.66,13.67,0.85,7.14,563.2,101,0
181332,25,14.48,7.35,1.9,5.22,361.9,91,2
182764,20,19.26,7.13,3.07,9.06,385.1,66,2
182766,23,18.53,8.16,1.46,8.91,426.2,72,0
182767,11,10.82,4.6,1.75,4.47,119.0,26,1
182769,21,15.6,8.22,0.48,6.9,327.7,51,2
182771,24,16.16,6.6,3.68,5.87,387.76,122,2
182775,18,16.26,7.35,4.02,4.89,292.7,53,2
182781,20,17.91,8.53,1.79,7.6,358.3,61,2
181334,11,40.68,2.95,4.64,33.09,447.5,31,0
181335,26,16.55,6.68,4.08,5.79,430.4,95,0
181336,17,17.66,7.78,2.21,7.68,300.3,57,2
181337,17,14.18,8.67,1.35,4.15,241.0,56,2
181338,25,22.82,11.92,2.07,8.84,570.6,136,0
181339,23,18.13,8.06,1.43,8.64,417.0,129,0
181340,21,15.99,6.71,1.63,7.64,335.8,64,2
181342,22,17.46,8.4,1.22,7.84,384.1,67,2
181343,27,23.3,12.12,2.61,8.57,629.2,137,0
181344,26,23.31,10.9,2.47,9.93,606.0,128,0
183474,27,15.31,7.99,2.64,4.67,413.3,123,2
183477,23,35.21,20.35,4.37,10.5,809.9,133,0
183479,18,22.02,8.58,4.56,8.88,396.4,111,2
183480,24,17.81,5.48,2.66,9.67,427.5,64,0
180747,28,12.56,5.72,1.08,5.77,351.7,147,2
180748,24,14.48,6.06,2.51,5.91,347.54,87,2
182882,17,6.58,1.19,2.93,2.46,111.9,49,1
182886,24,8.2,3.43,1.14,3.64,196.9,66,1
182887,23,8.38,2.72,1.85,3.81,192.8,65,1
182888,14,7.81,3.1,1.11,3.6,109.3,41,1
182890,18,11.25,3.21,1.58,6.47,202.5,66,1
182891,23,9.84,6.56,0.74,2.53,226.3,95,2
182892,24,11.64,6.39,1.22,4.03,279.4,118,2
180749,27,7.25,2.41,1.36,3.48,195.8,86,1
180751,27,22.93,10.87,3.36,8.71,619.2,141,0
182900,5,53.64,1.3,4.74,47.6,268.2,12,2
180752,22,21.5,9.64,3.66,8.2,472.9,153,0
180756,26,17.47,7.64,1.88,7.95,454.1,122,0
180759,21,13.69,4.61,1.84,7.24,287.4,65,2
182912,12,13.71,6.04,0.0,7.67,164.5,19,1
183481,14,10.99,3.25,3.11,4.62,153.8,58,1
183482,22,17.65,9.73,1.77,6.15,388.2,107,2
183483,14,12.56,3.63,0.18,8.75,175.8,29,1
183488,24,15.54,7.55,1.82,6.17,373.0,84,2
183489,22,13.08,5.25,2.54,5.29,287.8,77,2
183490,26,15.35,7.25,1.89,6.21,399.2,114,2
180945,12,13.49,8.88,0.0,4.62,161.9,23,1
180762,12,16.13,7.66,4.03,4.43,193.5,51,1
180973,2,15.5,0.0,0.0,15.5,31.0,4,1
180977,1,4.4,0.0,0.0,4.4,4.4,2,1
180987,2,34.75,9.25,6.0,19.5,69.5,23,1
183950,11,16.46,0.75,4.84,10.88,181.1,37,1
183952,23,10.35,3.81,0.69,5.85,238.1,87,2
183953,23,12.07,4.92,2.38,4.77,277.5,80,2
182525,20,11.05,4.13,0.0,6.92,221.0,67,1
182526,27,18.74,6.41,3.49,8.83,506.0,125,0
182532,25,29.32,10.97,1.58,16.77,733.0,110,0
182534,19,29.05,13.79,0.47,14.78,551.9,72,0
182535,12,25.18,8.59,4.04,12.54,302.1,56,2
182539,19,15.81,6.74,0.97,8.09,300.3,53,2
182542,22,12.0,2.95,2.35,6.7,264.0,78,2
182543,26,22.16,10.08,2.66,9.42,576.2,161,0
182545,26,14.72,5.05,1.57,8.1,382.7,75,2
182546,22,12.17,4.17,1.32,6.68,267.7,54,2
182547,17,23.32,9.16,2.56,11.59,396.4,73,2
182551,24,17.15,11.15,0.0,6.0,411.5,90,2
182552,19,12.07,2.34,4.08,5.65,229.4,51,2
182553,18,12.35,3.77,0.0,8.58,222.3,51,1
182555,25,11.28,4.86,1.85,4.56,282.0,95,2
182556,15,9.83,4.07,1.57,4.19,147.5,34,1
182557,20,18.09,6.58,1.86,9.65,361.9,88,2
180992,2,40.5,7.0,0.0,33.5,81.0,6,1
180993,19,13.45,3.27,2.43,7.74,255.5,81,2
180994,16,8.41,2.37,0.62,5.42,134.6,53,1
181011,21,12.22,4.9,2.44,4.88,256.7,65,2
180763,24,11.24,6.41,1.8,3.03,269.7,93,2
181012,11,11.85,4.27,0.74,6.84,130.3,27,1
181013,24,14.6,5.74,3.4,5.45,350.3,122,2
181015,27,10.02,3.87,1.43,4.72,270.6,138,2
181016,26,19.49,10.77,2.2,6.52,506.7,109,0
180764,28,23.86,10.34,4.08,9.45,668.2,160,0
180765,29,19.6,9.04,2.68,7.88,568.5,139,0
181760,27,15.01,4.08,1.8,9.14,405.4,85,2
181762,25,13.19,4.87,2.56,5.76,329.7,110,2
182559,13,16.14,6.69,3.73,5.72,209.8,48,1
182560,27,11.76,5.15,1.96,4.65,317.4,115,2
182561,16,13.08,0.16,3.22,9.71,209.3,33,1
182563,9,7.72,1.71,0.0,6.01,69.5,26,1
182564,25,11.28,3.59,2.8,4.88,281.9,81,2
182565,23,12.64,4.63,2.79,5.22,290.8,86,2
182569,22,15.54,6.16,2.35,7.03,341.9,80,2
182570,24,18.3,7.07,3.45,7.77,439.1,103,0
181763,10,17.87,9.54,2.7,5.63,178.7,46,1
182946,11,26.81,14.32,3.55,8.94,294.9,37,2
182950,20,18.8,9.27,3.22,6.32,376.1,109,2
182951,13,13.12,6.19,2.0,4.93,170.6,22,1
182952,16,21.87,7.77,3.43,10.67,349.9,57,2
182953,19,17.2,6.77,2.6,7.83,326.8,63,2
182954,17,17.21,6.57,0.3,10.34,292.5,48,2
182956,22,20.2,10.97,3.25,5.97,444.3,134,0
182957,23,21.48,9.83,2.51,9.13,494.1,123,0
182958,23,23.09,8.87,6.05,8.16,531.0,139,0
181345,24,15.61,7.58,1.28,6.76,374.7,69,2
181346,26,14.04,6.33,0.52,7.2,365.1,159,2
180863,18,11.58,6.44,1.1,4.03,208.4,78,1
181348,29,17.18,8.96,1.31,6.91,498.2,158,0
181349,18,9.54,3.94,1.64,3.96,171.7,71,1
181352,15,34.45,25.37,2.55,6.53,516.8,50,0
180864,27,11.59,2.52,3.04,6.03,312.9,102,2
180865,26,8.95,2.3,1.95,4.71,232.7,123,2
180866,21,13.28,6.87,1.62,4.79,278.8,85,2
180867,26,11.51,4.7,1.8,5.0,299.2,71,2
180868,28,8.22,2.35,1.98,3.9,230.2,95,2
180870,27,11.98,5.72,1.81,4.45,323.5,80,2
180871,23,6.43,1.03,1.22,4.18,147.8,71,1
182919,20,24.26,7.53,4.83,11.9,485.1,64,0
182921,19,19.55,9.81,2.48,7.26,371.5,114,2
182922,24,18.72,9.01,1.77,7.94,449.4,80,0
182923,20,12.04,4.75,2.48,4.81,240.7,50,2
182333,22,18.1,8.78,2.9,6.42,398.2,98,2
182334,26,8.64,4.94,2.0,1.7,224.6,82,2
182335,19,11.92,3.44,3.65,4.82,226.4,71,2
182336,22,16.87,7.96,1.25,7.66,371.2,69,2
182337,24,13.02,3.19,3.04,6.78,312.4,96,2
182338,26,10.18,2.43,2.16,5.59,264.7,107,2
182339,12,9.72,3.68,2.79,3.25,116.6,26,1
182340,27,12.14,4.99,2.38,4.77,327.7,93,2
180571,26,12.84,3.39,1.5,7.95,333.9,84,2
180572,26,15.48,6.4,2.93,6.15,402.6,69,2
180574,22,7.31,3.16,1.7,2.45,160.9,50,1
180576,25,15.31,7.33,1.88,6.1,382.8,90,2
180577,11,4.25,2.96,0.11,1.18,46.8,21,1
183493,12,7.63,0.92,2.92,3.79,91.5,23,1
183495,28,15.62,6.94,1.59,7.09,437.4,86,0
183497,1,0.2,0.2,0.0,0.0,0.2,0,1
183498,12,13.06,4.57,1.72,6.77,156.7,45,1
183499,2,60.0,0.0,0.0,60.0,120.0,1,1
183502,21,18.68,8.88,1.66,8.14,392.3,59,2
183504,6,8.63,1.78,2.2,4.65,51.8,16,1
183505,8,20.9,3.1,14.85,2.95,167.2,15,1
183511,15,10.83,2.53,3.59,4.7,162.4,44,1
183513,19,21.07,9.16,2.42,9.5,400.4,93,2
181898,11,27.5,9.0,3.27,15.23,302.5,41,2
181899,29,21.69,8.81,3.76,9.12,629.0,245,0
183519,22,19.85,5.32,1.59,12.94,436.7,64,0
181900,27,16.72,6.4,3.26,7.07,451.5,120,0
183448,27,18.13,5.0,3.63,9.49,489.4,204,0
183450,20,14.07,6.37,3.15,4.55,281.4,90,2
183451,26,13.63,4.45,1.46,7.72,354.5,106,2
181167,25,14.72,5.14,1.57,8.0,367.9,103,2
